"Techstack","Links"
"React, Node.js, MongoDB","https://VWXYZ.com/react-portfolio"
"Angular,.NET, SQL Server","https://VWXYZ.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://VWXYZ.com/vue-portfolio"
"Python, Django, MySQL","https://VWXYZ.com/python-portfolio"
"Java, Spring Boot, Oracle","https://VWXYZ.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://VWXYZ.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://VWXYZ.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://VWXYZ.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://VWXYZ.com/react-native-portfolio"
"iOS, Swift, Core Data","https://VWXYZ.com/ios-portfolio"
"Android, Java, Room Persistence","https://VWXYZ.com/android-portfolio"
"Kotlin, Android, Firebase","https://VWXYZ.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://VWXYZ.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://VWXYZ.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://VWXYZ.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://VWXYZ.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://VWXYZ.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://VWXYZ.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://VWXYZ.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://VWXYZ.com/devops-portfolio"
